codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
319,vendedor loja,2023-08-02,,2022-08-02,retorno,sim,redes sociais,,
380,automacao,2023-03-08,,2022-09-21,retorno,sim,midia organica,nenhum e nao sei por onde comecar,
538,automacao,2023-03-10,,2022-10-21,retorno,sim,redes sociais,,
540,automacao,2023-03-13,,2022-11-29,retorno,sim,redes sociais,,
579,vendedor loja,2023-03-13,,2022-11-29,retorno,sim,midia paga,,tetravo
588,vendedor loja,2023-03-08,,2022-09-21,retorno,sim,midia paga,,
627,automacao,2023-03-13,,2022-12-14,retorno,sim,midia paga,"tenho apenas rg, cartao de imigrante ou passaporte",
829,automacao,2023-03-13,,2023-01-12,retorno,sim,midia paga,"tenho apenas rg, cartao de imigrante ou passaporte",
1025,automacao,2023-01-07,2023-01-06,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
3651,automacao,2023-03-02,2023-02-16,,,sim,parcerias,,
3652,automacao,2023-03-02,2023-02-16,,,nao,parcerias,,
3653,automacao,2023-03-02,2023-02-10,,,nao,parcerias,,
3663,automacao,2023-03-02,2023-02-14,,,nao,parcerias,,
6564,automacao,2023-03-12,2023-03-11,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6810,automacao,2023-03-14,2023-03-13,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6814,automacao,2023-03-14,2023-03-13,,1venda - site,nao,midia organica,nenhum e nao sei por onde comecar,
6816,automacao,2023-03-14,2023-03-13,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6904,automacao,2023-03-15,2023-03-14,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6906,automacao,2023-03-15,2023-03-14,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6911,automacao,2023-03-15,2023-03-14,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6964,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6967,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6968,automacao,2023-03-16,2023-03-15,,1venda - site,nao,parcerias,nenhum e nao sei por onde comecar,
6976,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6979,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6980,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6982,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6984,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6985,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
6987,automacao,2023-03-16,2023-03-15,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7093,automacao,2023-03-17,2023-03-16,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7097,automacao,2023-03-17,2023-03-16,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7098,automacao,2023-03-17,2023-03-16,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7099,automacao,2023-03-17,2023-03-16,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7102,automacao,2023-03-17,2023-03-16,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7149,automacao,2023-03-18,2023-03-17,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7152,automacao,2023-03-18,2023-03-17,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7200,automacao,2023-03-19,2023-03-18,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7206,automacao,2023-03-19,2023-03-18,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7263,automacao,2023-03-20,2023-03-19,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7333,automacao,2023-03-21,2023-03-20,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7383,automacao,2023-03-22,2023-03-21,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7462,automacao,2023-03-23,2023-03-22,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7466,automacao,2023-03-23,2023-03-22,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7471,automacao,2023-03-23,2023-03-22,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7559,automacao,2023-03-24,2023-03-23,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7562,automacao,2023-03-24,2023-03-23,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7564,automacao,2023-03-24,2023-03-23,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7574,automacao,2023-03-24,2023-03-23,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7644,automacao,2023-03-25,2023-03-24,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7645,automacao,2023-03-25,2023-03-24,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7646,automacao,2023-03-25,2023-03-24,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7647,automacao,2023-03-25,2023-03-24,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7648,automacao,2023-03-25,2023-03-24,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7711,automacao,2023-03-26,2023-03-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7720,automacao,2023-03-26,2023-03-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7880,automacao,2023-03-28,2023-03-27,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
7884,automacao,2023-03-28,2023-03-27,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,
