codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
1,automacao,2023-01-03,2023-01-09,,retorno,nao,redes sociais,nenhum e nao sei por onde comecar,nao informado
2,automacao,2023-01-17,2023-03-14,,1venda - site,nao,indicacao,nenhum e nao sei por onde comecar,nao informado
3,vendedor loja,2023-11-11,2023-11-28,,retorno,nao,remarketing,,nao informado
4,automacao,2023-03-07,2023-03-09,,1venda - site,nao,indicacao,nenhum e nao sei por onde comecar,nao informado
5,automacao,2023-09-22,2023-09-28,,retorno,nao,remarketing,algumas certidoes de nascimento/casamento/obito,nao informado
6,automacao,2023-09-08,2023-09-13,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
7,automacao,2023-03-14,2023-03-14,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
8,automacao,2023-09-26,2023-10-14,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
9,automacao,2023-10-10,2023-10-23,,1venda - indicacao,nao,indicacao,,nao informado
10,automacao,2023-02-27,2023-02-28,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
11,automacao,2023-08-01,2023-08-10,,retorno,Sim,outros,algumas certidoes de nascimento/casamento/obito,nao informado
12,automacao,2023-10-01,2023-11-29,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
13,automacao,2023-09-11,2023-10-04,,retorno,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14,automacao,2023-10-06,2023-10-23,,retorno,Sim,,,nao informado
15,automacao,2023-02-16,2023-04-14,,retorno,nao,midia paga,,nao informado
16,automacao,2023-12-24,,,retorno,nao,midia paga,"tenho apenas rg, cartao de imigrante ou passaporte",nao informado
17,automacao,2023-12-06,2023-12-10,,retorno,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
18,vendedor loja,2023-10-02,2023-10-10,,1venda - indicacao,nao,indicacao,,nao informado
19,automacao,2023-12-26,,,1venda - indicacao,nao,indicacao,,nao informado
20,automacao,2023-07-27,2023-08-11,,retorno,nao,remarketing,,nao informado
21,automacao,2023-07-27,2023-09-12,,1venda - site,Sim,midia organica,,nao informado
22,automacao,2023-01-10,,2023-01-25,retorno,Sim,redes sociais,nenhum e nao sei por onde comecar,nao informado
23,automacao,2023-02-08,2023-03-19,,retorno,Sim,midia paga,"tenho apenas rg, cartao de imigrante ou passaporte",nao informado
24,automacao,2023-01-07,2023-01-30,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
25,automacao,2023-11-06,2023-12-06,,retorno,Sim,redes sociais,algumas certidoes de nascimento/casamento/obito,nao informado
26,automacao,2023-01-07,2023-02-13,,retorno,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,trisavo
27,automacao,2023-12-01,2023-12-07,,retorno,Sim,remarketing,,nao informado
28,automacao,2023-12-03,2023-12-04,,retorno,nao,remarketing,,nao informado
29,automacao,2023-12-21,2023-12-26,,retorno,Sim,indicacao,"nenhum, mas meu parente ja tirou a cidadania",pentavo
30,automacao,2023-12-06,2023-12-26,,retorno,nao,midia paga,,nao informado
31,automacao,2023-01-21,2023-02-09,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
32,automacao,2023-10-20,2023-10-23,,1venda - indicacao,Sim,indicacao,,tetravo
33,automacao,2023-04-17,2023-05-24,,1venda - site,Sim,midia organica,,nao informado
34,automacao,2023-03-06,2023-03-14,,retorno,nao,parcerias,,nao informado
35,automacao,2023-12-17,,,retorno,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
36,automacao,2023-03-14,2023-04-17,,retorno,nao,remarketing,,nao informado
37,automacao,2023-12-04,2023-12-08,,retorno,Sim,remarketing,algumas certidoes de nascimento/casamento/obito,nao informado
38,automacao,2023-12-14,2023-12-26,,retorno,nao,midia paga,,nao informado
39,automacao,2023-02-03,2023-08-25,,retorno,Sim,midia organica,,nao informado
40,automacao,2023-01-31,2023-03-12,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
41,automacao,2023-03-24,2023-03-27,,retorno,nao,remarketing,algumas certidoes de nascimento/casamento/obito,nao informado
42,automacao,2023-01-11,2023-02-06,,retorno,nao,remarketing,,nao informado
43,automacao,2023-11-29,2023-12-01,,retorno,nao,midia paga,,nao informado
44,automacao,2023-01-19,2023-02-13,,retorno,nao,midia paga,,nao informado
45,automacao,2023-03-21,2023-03-29,,retorno,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
46,automacao,2023-02-08,2023-03-26,,retorno,nao,remarketing,"tenho apenas rg, cartao de imigrante ou passaporte",avo
47,automacao,2023-12-06,2023-12-06,,retorno,nao,midia paga,"tenho apenas rg, cartao de imigrante ou passaporte",nao informado
48,automacao,2023-02-28,2023-03-13,,retorno,nao,midia paga,"tenho apenas rg, cartao de imigrante ou passaporte",nao informado
49,automacao,2023-03-09,,2023-03-27,retorno,Sim,redes sociais,algumas certidoes de nascimento/casamento/obito,nao informado
50,automacao,2023-02-25,2023-04-04,,retorno,Sim,redes sociais,algumas certidoes de nascimento/casamento/obito,nao informado
51,automacao,2023-01-12,2023-02-02,,retorno,nao,remarketing,nenhum e nao sei por onde comecar,nao informado
52,automacao,2023-01-17,2023-02-03,,retorno,Sim,remarketing,nenhum e nao sei por onde comecar,nao informado
53,automacao,2023-12-01,2023-12-04,,retorno,nao,remarketing,,nao informado
54,automacao,2023-03-13,2023-03-21,,retorno,nao,remarketing,"tenho apenas rg, cartao de imigrante ou passaporte",nao informado
55,automacao,2023-02-08,2023-03-12,,retorno,nao,remarketing,algumas certidoes de nascimento/casamento/obito,bisavo
56,automacao,2023-01-16,2023-04-04,,retorno,nao,midia paga,,nao informado
57,automacao,2023-12-04,2023-12-08,,retorno,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
58,automacao,2023-06-22,2023-12-08,,retorno,Sim,remarketing,"nenhum, mas meu parente ja tirou a cidadania",nao informado
59,automacao,2023-12-21,,,retorno,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
60,automacao,2023-02-28,2023-03-08,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
61,automacao,2023-03-14,2023-04-03,,retorno,Sim,midia organica,algumas certidoes de nascimento/casamento/obito,nao informado
62,automacao,2023-12-04,2023-12-09,,retorno,nao,remarketing,algumas certidoes de nascimento/casamento/obito,nao informado
63,automacao,2023-02-06,2023-04-04,,retorno,Sim,remarketing,nenhum e nao sei por onde comecar,nao informado
